n,capacity,brute_force_result,brute_force_time,dynamic_result,dynamic_time,greedy_result,greedy_time,backtracking_result,backtracking_time
5,10000,22.07,0.00,22.07,1.00,22.07,0.00,22.07,0.00
5,100000,22.07,0.00,22.07,4.00,22.07,0.00,22.07,0.00
5,1000000,22.07,0.00,22.07,36.00,22.07,0.00,22.07,0.00
10,10000,52.04,0.00,52.04,1.00,52.04,0.00,52.04,0.00
10,100000,52.04,0.00,52.04,7.00,52.04,0.00,52.04,0.00
10,1000000,52.04,0.00,52.04,68.00,52.04,0.00,52.04,0.00
15,10000,96.40,3.00,96.40,2.00,96.40,0.00,96.40,0.00
15,100000,96.40,4.00,96.40,8.00,96.40,0.00,96.40,0.00
15,1000000,96.40,6.00,96.40,100.00,96.40,0.00,96.40,0.00
20,10000,114.69,139.00,114.69,1.00,114.69,0.00,114.69,11.00
20,100000,114.69,137.00,114.69,12.00,114.69,0.00,114.69,11.00
20,1000000,114.69,136.00,114.69,133.00,114.69,0.00,114.69,11.00
1000,10000,0.00,0.00,2715.70,52.00,2715.33,3.00,0.00,0.00
1000,100000,0.00,0.00,5596.23,618.00,5596.23,3.00,0.00,0.00
1000,1000000,0.00,0.00,5470.62,6411.00,5470.62,3.00,0.00,0.00
2000,10000,0.00,0.00,3874.27,94.00,3873.75,14.00,0.00,0.00
2000,100000,0.00,0.00,10923.36,1177.00,10923.36,13.00,0.00,0.00
2000,1000000,0.00,0.00,10971.54,14109.00,10971.54,17.00,0.00,0.00
3000,10000,0.00,0.00,4531.68,148.00,4531.23,32.00,0.00,0.00
3000,100000,0.00,0.00,14600.29,1897.00,14599.40,32.00,0.00,0.00
3000,1000000,0.00,0.00,16518.39,21316.00,16518.39,32.00,0.00,0.00
4000,10000,0.00,0.00,5374.89,212.00,5373.82,59.00,0.00,0.00
4000,100000,0.00,0.00,17000.47,2452.00,16999.51,64.00,0.00,0.00
4000,1000000,0.00,0.00,21844.31,28321.00,21844.31,63.00,0.00,0.00
5000,10000,0.00,0.00,5975.25,240.00,5975.22,118.00,0.00,0.00
5000,100000,0.00,0.00,19118.00,3085.00,19117.73,100.00,0.00,0.00
5000,1000000,0.00,0.00,26967.03,35269.00,26967.03,105.00,0.00,0.00
6000,10000,0.00,0.00,6667.28,296.00,6666.94,154.00,0.00,0.00
6000,100000,0.00,0.00,20841.77,3608.00,20841.43,156.00,0.00,0.00
6000,1000000,0.00,0.00,32645.35,42936.00,32645.35,150.00,0.00,0.00
7000,10000,0.00,0.00,7161.91,348.00,7161.90,217.00,0.00,0.00
7000,100000,0.00,0.00,22746.63,4132.00,22746.29,220.00,0.00,0.00
7000,1000000,0.00,0.00,38059.15,49759.00,38059.15,220.00,0.00,0.00
8000,10000,0.00,0.00,7378.44,385.00,7378.36,284.00,0.00,0.00
8000,100000,0.00,0.00,23919.88,4648.00,23919.65,287.00,0.00,0.00
8000,1000000,0.00,0.00,43822.83,67565.00,43822.83,317.00,0.00,0.00
9000,10000,0.00,0.00,7771.45,568.00,7771.39,382.00,0.00,0.00
9000,100000,0.00,0.00,25655.49,5157.00,25655.25,363.00,0.00,0.00
9000,1000000,0.00,0.00,49210.16,70074.00,49210.16,347.00,0.00,0.00
10000,10000,0.00,0.00,8268.89,532.00,8268.46,456.00,0.00,0.00
10000,100000,0.00,0.00,27045.92,6235.00,27045.88,509.00,0.00,0.00
10000,1000000,0.00,0.00,54415.06,79854.00,54415.06,490.00,0.00,0.00
20000,10000,0.00,0.00,11245.90,1023.00,11245.89,2021.00,0.00,0.00
20000,100000,0.00,0.00,37484.34,4996.00,37484.34,1582.00,0.00,0.00
20000,1000000,0.00,0.00,108845.75,131831.00,108845.38,2077.00,0.00,0.00
40000,10000,0.00,0.00,16164.47,1724.00,16164.47,8382.00,0.00,0.00
40000,100000,0.00,0.00,52933.75,21538.00,52933.48,8409.00,0.00,0.00
40000,1000000,0.00,0.00,170301.38,238891.00,170301.38,8191.00,0.00,0.00
80000,10000,0.00,0.00,22062.89,3318.00,22062.82,30964.00,0.00,0.00
80000,100000,0.00,0.00,74677.59,36300.00,74676.82,31090.00,0.00,0.00
80000,1000000,0.00,0.00,239491.13,460000.00,239490.77,30808.00,0.00,0.00
160000,10000,0.00,0.00,29818.50,6528.00,29818.48,103911.00,0.00,0.00
160000,100000,0.00,0.00,104318.81,70723.00,104318.81,104657.00,0.00,0.00
